block,bin,mining_area,pit_name,bench_rl,tonnes_wt,pot_ore_wt,pot_ore_dt,hg_l_wt,hg_l_dt,hg_l_fe,hg_f_wt,hg_f_dt,hg_f_fe,lg_l_wt,lg_l_dt,lg_l_fe,lg_f_wt,lg_f_dt,lg_f_fe
156,30,BW,s10w2,1160,0.002727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,10,BW,s10w2,1170,0.473559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,30,BW,s10w2,1170,0.00542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,10,BW,s10w2,1180,0.540396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,30,BW,s10w2,1180,0.010631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,10,BW,s10w2,1190,0.551116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,30,BW,s10w2,1190,0.005412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,10,BW,s10w2,1200,0.533958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,30,BW,s10w2,1200,0.019482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,10,BW,s10w2,1210,0.524769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,30,BW,s10w2,1210,0.00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,10,BW,s10w2,1220,0.652897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,30,BW,s10w2,1220,0.020791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,10,BW,s10w2,1230,0.549798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,30,BW,s10w2,1230,0.020895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,10,BW,s10w2,1240,0.497067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,30,BW,s10w2,1240,0.001191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,10,BW,s10w2,1250,0.338259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,10,BW,s10w2,1260,0.218063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,10,BW,s10w2,1270,0.070295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,10,BW,s10w2,1280,0.004917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,10,BW,s10w3,1160,0.001194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,10,BW,s10w3,1180,0.006201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,30,BW,s10w3,1180,0.002134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,10,BW,s10w3,1190,0.011953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,30,BW,s10w3,1190,0.003607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,10,BW,s10w3,1200,0.042878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,10,BW,s10w3,1210,0.029959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,30,BW,s10w1,1090,0.025381249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,50,BW,s10w1,1090,0.44622146,0.44622146,0.428632795,0.175010369,0.170226294,59.51005603,0.271784496,0.258406501,57.22175788,0.145378039,0.139562917,62.09530636,0.161874986,0.145687488,61.44767132
206,90,BW,s10w1,1090,0.027407645,0.027407645,0.026722454,0.009890307,0.009692501,63.32571583,0.017647619,0.017029953,61.48756184,0.008619032,0.00827427,64.60762156,0.011882991,0.010694692,63.68129778
207,30,BW,s10w1,1100,0.004048221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,50,BW,s10w1,1100,0.690585914,0.690585914,0.663133255,0.258881701,0.251770354,60.28798089,0.432838323,0.411362901,57.25721012,0.222580945,0.213677708,62.30748939,0.278595291,0.250735762,60.95997696
209,90,BW,s10w1,1100,0.163128531,0.163128531,0.159050318,0.05886647,0.057689141,63.48557612,0.105037488,0.101361176,62.01317094,0.052672347,0.050565453,64.64359283,0.070578524,0.063520672,64.08739206
210,50,BW,s10w1,1110,1.299678114,1.299678114,1.254113274,0.470421807,0.458611043,61.70829553,0.832934396,0.795502231,58.17777764,0.4238304,0.406877184,63.05479542,0.564630255,0.508167229,61.30359608
211,90,BW,s10w1,1110,0.075074222,0.075074222,0.073197366,0.027091242,0.026549417,63.30442916,0.048339845,0.04664795,61.41758283,0.024679537,0.023692356,64.41326885,0.032009754,0.028808779,63.87832538
212,30,BW,s10w1,1120,0.132603555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,50,BW,s10w1,1120,1.819063707,1.819063707,1.752007829,0.677026218,0.659402,61.08541685,1.146145088,1.092605827,57.64856445,0.600368767,0.576354016,62.7467282,0.747960628,0.673164565,61.0919471
214,90,BW,s10w1,1120,0.359251117,0.359251117,0.350269839,0.129423907,0.126835429,63.60386764,0.23153825,0.223434411,62.30375018,0.113394912,0.108859116,64.82725746,0.157699866,0.141929879,64.0588864
215,30,BW,s10w1,1130,0.114340309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,50,BW,s10w1,1130,1.61857619,1.61857619,1.555151883,0.624996904,0.607956569,60.38616954,0.995934875,0.947195315,57.42570992,0.530338915,0.509125358,62.4832022,0.630810865,0.567729779,61.15893853
217,90,BW,s10w1,1130,0.202220177,0.202220177,0.197164672,0.072973059,0.071513598,63.47166255,0.130208367,0.125651074,61.96742273,0.063689571,0.061141988,64.73610063,0.087979645,0.079181681,63.92521599
218,30,BW,s10w1,1140,0.235615756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,50,BW,s10w1,1140,1.100424242,1.100424242,1.057703081,0.441842329,0.429842945,59.64765795,0.659833413,0.627860134,56.91234011,0.364903949,0.350307792,61.93880466,0.412267031,0.371040328,60.9715076
220,90,BW,s10w1,1140,0.003699715,0.003699715,0.003607222,0.001335077,0.001308375,63.3784456,0.002382224,0.002298846,61.66094641,0.001164072,0.00111751,64.65390945,0.001606073,0.001445466,63.76886235
221,30,BW,s10w1,1150,0.048975323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,50,BW,s10w1,1150,0.67060089,0.67060089,0.645450956,0.268296887,0.261202532,59.64468484,0.403288889,0.384248423,57.25835703,0.221183678,0.212336331,61.92931764,0.253507593,0.228156834,61.30969787
223,90,BW,s10w1,1150,0.013065697,0.013065697,0.012739055,0.00471488,0.004620583,63.36691222,0.008412925,0.008118472,61.62301527,0.004110504,0.003946084,64.64394136,0.005670363,0.005103327,63.75037427
